Unnamed: 0,Unnamed: 1,Prices are per MBF or 1000 board feet,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Grade,ItemDescription,TransactionDate,West,Central,East,SortID
#3,2x10 #3,2024-11-08,245,230,260,10
#3,2x10 #3,2024-11-15,245,230,265,10
#3,2x10 #3,2024-11-22,240,225,260,10
#3,2x10 #3,2024-11-27,235,220,260,10
#3,2x10 #3,2024-12-06,235,220,260,10
#3,2x10 #3,2024-12-13,235,210,260,10
#3,2x10 #3,2024-12-20,235,210,260,10
#3,2x10 #3,2025-01-03,240,215,265,10
#3,2x10 #3,2025-01-10,240,215,265,10
#3,2x10 #3,2025-01-17,240,215,265,10
#3,2x10 #3,2025-01-24,240,215,265,10
#3,2x10 #3,2025-01-31,240,220,265,10
#3,2x10 #3,2025-02-07,240,225,265,10
#3,2x10 #3,2025-02-14,240,225,265,10
#3,2x10 #3,2025-02-21,240,230,265,10
#3,2x10 #3,2025-02-28,245,230,265,10
#3,2x10 #3,2025-03-07,250,235,270,10
#3,2x10 #3,2025-03-14,260,240,280,10
#3,2x10 #3,2025-03-21,270,250,290,10
#3,2x10 #3,2025-03-28,275,255,295,10
#3,2x10 #3,2025-04-04,280,260,295,10
#3,2x10 #3,2025-04-11,285,270,300,10
#3,2x10 #3,2025-04-18,290,275,305,10
#3,2x10 #3,2025-04-25,290,280,305,10
#3,2x10 #3,2025-05-02,290,285,305,10
#3,2x10 #3,2025-05-09,290,285,300,10
#3,2x10 #3,2025-05-16,290,270,295,10
#3,2x10 #3,2025-05-23,275,260,295,10
#3,2x10 #3,2025-05-30,260,255,290,10
#3,2x10 #3,2025-06-06,250,250,285,10
#3,2x10 #3,2025-06-13,230,250,280,10
#3,2x10 #3,2025-06-19,220,245,270,10
#3,2x10 #3,2025-06-27,215,245,260,10
#3,2x10 #3,2025-07-03,215,240,250,10
#3,2x10 #3,2025-07-11,215,235,250,10
#3,2x10 #3,2025-07-18,215,235,245,10
#3,2x10 #3,2025-07-25,215,235,245,10
#3,2x10 #3,2025-08-01,215,235,245,10
#3,2x10 #3,2025-08-08,215,230,250,10
#3,2x10 #3,2025-08-15,218,225,245,10
#3,2x10 #3,2025-08-22,215,225,245,10
#3,2x10 #3,2025-08-29,205,220,245,10
#3,2x10 #3,2025-09-05,205,215,245,10
#3,2x10 #3,2025-09-12,205,215,245,10
#3,2x10 #3,2025-09-19,205,215,250,10
#3,2x10 #3,2025-09-26,205,215,250,10
#3,2x10 #3,2025-10-03,205,215,245,10
#3,2x10 #3,2025-10-10,205,210,245,10
#3,2x10 #3,2025-10-17,205,210,240,10
#3,2x12 #3,2024-01-12,200,220,240,11
#3,2x12 #3,2024-01-18,200,225,240,11
#3,2x12 #3,2024-01-25,200,220,240,11
#3,2x12 #3,2024-02-08,215,230,240,11
#3,2x12 #3,2024-02-15,220,230,240,11
#3,2x12 #3,2024-02-22,225,235,240,11
#3,2x12 #3,2024-02-29,230,245,240,11
#3,2x12 #3,2024-03-07,240,245,250,11
#3,2x12 #3,2024-03-14,240,245,255,11
#3,2x12 #3,2024-03-21,245,245,260,11
#3,2x12 #3,2024-03-28,245,245,260,11
#3,2x12 #3,2024-04-04,245,245,265,11
#3,2x12 #3,2024-04-11,245,245,265,11
#3,2x12 #3,2024-04-18,245,245,270,11
#3,2x12 #3,2024-04-25,245,250,270,11
#3,2x12 #3,2024-05-02,245,250,270,11
#3,2x12 #3,2024-05-09,245,255,270,11
#3,2x12 #3,2024-05-16,250,255,270,11
#3,2x12 #3,2024-05-30,255,265,275,11
#3,2x12 #3,2024-06-06,255,265,275,11
#3,2x12 #3,2024-06-13,255,265,270,11
#3,2x12 #3,2024-06-20,255,260,270,11
#3,2x12 #3,2024-06-27,250,260,270,11
#3,2x12 #3,2024-07-04,250,260,270,11
#3,2x12 #3,2024-07-11,250,255,265,11
#3,2x12 #3,2024-07-18,250,255,255,11
#3,2x12 #3,2024-07-25,250,255,255,11
#3,2x12 #3,2024-08-01,250,255,255,11
#3,2x12 #3,2024-08-08,250,255,255,11
#3,2x12 #3,2024-08-15,250,255,255,11
#3,2x12 #3,2024-08-22,250,255,250,11
#3,2x12 #3,2024-08-29,250,255,240,11
#3,2x12 #3,2024-09-05,250,255,240,11
#3,2x12 #3,2024-09-12,250,255,240,11
#3,2x12 #3,2024-09-20,240,255,240,11
#3,2x12 #3,2024-09-27,240,255,245,11
