Lane,Loads,AvgDaysToShip,AvgCostPerMile,MilesAvg
"LOUISVILLE, AL → MONTGOMERY, AL",1,1.0,5.4945054945054945,91.0
"RUSSELLVILLE, AR → PINE BLUFF, AR",1,3.0,5.47457627118644,118.0
"MILLPORT, AL → CULLMAN, AL",14,3.2142857142857144,5.472883597883599,108.0
"MERIDIAN, MS → LEEDS, AL",1,1.0,5.46583850931677,161.0
"PINELAND, TX → KILGORE, TX",2,1.5,5.431818181818182,110.0
"CORINTH, MS → VINEMONT, AL",3,3.6666666666666665,5.420054200542006,123.0
"BIRMINGHAM, AL → GHENT, KY",1,3.0,5.416666666666667,420.0
"ROME, GA → NASHVILLE, TN",2,2.5,5.408163265306122,196.0
"BRYAN, TX → SHINER, TX",1,5.0,5.405405405405405,111.0
"DERIDDER, LA → SILSBEE, TX",1,2.0,5.404814814814815,81.0
"WARM SPRINGS, AR → BEEBE, AR",1,2.0,5.4,125.0
"PHILADELPHIA, MS → NORTHPORT, AL",1,0.0,5.39568345323741,139.0
"LOUISVILLE, AL → RANBURNE, AL",7,6.428571428571429,5.359477124183007,153.0
"BIRMINGHAM, AL → ADAIRSVILLE, GA",8,4.0,5.357269503546099,141.0
"MILLPORT, AL → HARTSELLE, AL",2,0.5,5.357142857142857,112.0
"ABERDEEN, MS → BIRMINGHAM, AL",1,1.0,5.343511450381679,131.0
"MAGNOLIA, MS → BUNKIE, LA",2,1.0,5.3273809523809526,168.0
"THORSBY, AL → RIVERSIDE, AL",2,1.0,5.288461538461538,104.0
"VIOLA, AR → GENTRY, AR",1,8.0,5.285714285714286,175.0
"BIRMINGHAM, AL → ROME, GA",6,2.5,5.284855072463768,115.0
"MALVERN, AR → SPRINGFIELD, MO",1,6.0,5.283018867924528,265.0
"BRYAN, TX → JERSEY VILLAGE, TX",3,3.0,5.277777777777778,96.0
"BRUCE, MS → CROSSVILLE, TN",1,3.0,5.2631578947368425,380.0
"ZWOLLE, LA → SCOTTSVILLE, TX",1,1.0,5.2631578947368425,95.0
"TAYLOR, LA → MT PLEASANT, TX",1,2.0,5.244755244755245,143.0
"BRYAN, TX → NACOGDOCHES, TX",6,3.1666666666666665,5.239486263338322,140.66666666666666
"ACKERMAN, MS → IUKA, MS",5,5.8,5.237179487179487,156.0
"JASPER, AL → RANBURNE, AL",1,6.0,5.223880597014926,134.0
"PLUMERVILLE, AR → SCAMMON, KS",1,17.0,5.223880597014926,268.0
"FAIRFAX, SC → EATONTON, GA",2,5.5,5.20440251572327,159.0
"BRYAN, TX → CONVERSE, TX",2,5.0,5.201342281879194,149.0
"BIRMINGHAM, AL → ABERDEEN, MS",22,3.0454545454545454,5.197116585704372,131.0
"DIERKS, AR → SHREVEPORT, LA",1,5.0,5.194805194805195,154.0
"BRYAN, TX → ALVARADO, TX",13,4.6923076923076925,5.191606029106028,148.0
"CORDELE, GA → EATONTON, GA",1,1.0,5.188679245283019,106.0
"FOREST, MS → BRENT, AL",1,5.0,5.177514792899408,169.0
"GURDON, AR → BONHAM, TX",3,3.0,5.1767676767676765,198.0
"SWAINSBORO, GA → EAST POINT, GA",8,1.25,5.161897590361445,166.0
"BRYAN, TX → CLEVELAND, TX",3,5.666666666666667,5.156853582554517,107.0
"ATOKA, OK → ARCADIA, OK",1,3.0,5.141843971631205,141.0
"BRYAN, TX → ENNIS, TX",3,5.333333333333333,5.1378446115288225,133.0
"CORINTH, MS → ARMOREL, AR",1,3.0,5.113636363636363,176.0
"TUSCUMBIA, AL → MEMPHIS, TN",31,3.032258064516129,5.099791134834067,139.0
"BAXLEY, GA → JACKSONVILLE, FL",3,2.6666666666666665,5.099310094408134,135.33333333333334
"ABBEVILLE, AL → MONTGOMERY, AL",1,2.0,5.092592592592593,108.0
"BRUCE, MS → FLINTVILLE, TN",2,11.0,5.086580086580087,231.0
"PRESTON, GA → EAST POINT, GA",3,1.6666666666666667,5.081585081585081,143.0
"LANETT, AL → EATONTON, GA",2,9.0,5.080645161290322,155.0
"POCAHONTAS, AR → OLIVE BRANCH, MS",1,1.0,5.0675675675675675,148.0
