Mill,Loads,AvgDaysToShip,AvgCostPerMile
"Binderholz Timber, LLC (New Orleans, LA)",5,4.4,2.888086642599278
"Rex Lumber-Brookhaven (Brookhaven, MS)",7,9.428571428571429,2.8859070957876662
"M C Dixon Lumber Co, Inc (Eufaula, AL)",1,13.0,2.847571189279732
"Atlee E Hershberger (Summersville, MO)",17,3.3529411764705883,2.84650882210752
"Central Missouri Forest Products, LLC (New Bloomfield, MO)",1,1.0,2.843601895734597
"G K Sawmill, LLC (Halfway, MO)",14,4.071428571428571,2.842874513078763
"West Fraser Mills Ltd (Leola, AR)",2,2.0,2.8026599699008177
"Prater Hardwood Products Inc (Wyandotte, OK)",1,4.0,2.8
"Show-Me Hardwoods & Geenhouse (Exeter, MO)",8,2.375,2.797651139025551
"Griffin Lumber Company, Inc. (Cordele, GA)",11,3.272727272727273,2.7973700513114044
"West Fraser Mills Ltd. (Mansfield, AR)",36,2.8333333333333335,2.7751560267685003
"Georgia-Pacific Corp. (Prosperity, SC)",2,2.0,2.772177419354839
"FG Sawmill (Tahlequah, OK)",15,3.6666666666666665,2.7579160046767135
"Boise Cascade, LLC (Havana, FL)",3,3.3333333333333335,2.7276897452071243
"Corrigan OSB LLC (Corrigan, TX)",1,6.0,2.7182866556836904
"McShan Lumber Company, Inc. (Mc Shan, AL)",3,3.3333333333333335,2.6925148088314486
"Dupont Pine Products, LLC (Alapaha, GA)",38,3.0,2.6564969209459632
"Jadwin Lumber Company, LLC (Salem, MO)",48,4.0625,2.6546003149845454
"Dixie Plywood And Lumber Co (Garland, TX)",1,1.0,2.6422764227642275
"Biewer Lumber (Winona, MS)",3,1.3333333333333333,2.641203703703704
"Industria de Compensados Sudati LTDA (Corpus Christi, TX)",1,4.0,2.619047619047619
"Burkholder's Wood Products, LLC (Verona, MO)",9,2.0,2.5814022261819733
"National Salvage & Service Corporation (Hondo, TX)",1,1.0,2.542319749216301
"Pollard Lumber Co, Inc (Appling, GA)",1,0.0,2.442528735632184
"CMFP Eldon LLC (Eldon, MO)",7,2.2857142857142856,2.2964190556779287
"Doman Lumber (Plumerville, AR)",1,4.0,2.2600000000000002
"Ball Lumber Company Inc. (Millers Tavern, VA)",66,2.696969696969697,2.2035151515151523
"Spanish Trails Lumber Company (Marianna, FL)",1,1.0,2.1621621621621623
"S & S Lumber L.C. (Half Way, MO)",1,1.0,1.9128113879003559
"Doman Lumber (Gilmer, TX)",4,3.0,
