mill,product,count
"Georgia-Pacific Corp. (Warrenton, GA)",2x6 | #2 | 12ft,1
"Georgia-Pacific Corp. (Warrenton, GA)",2x6 | #2 | 16ft,1
"Gloster Forest Products (Gloster, MS)",2x4 | #2 | 10ft,6
"Gloster Forest Products (Gloster, MS)",2x10 | #1 | 16ft,3
"Gloster Forest Products (Gloster, MS)",2x10 | #2 | 8ft,2
"Gloster Forest Products (Gloster, MS)",2x4 | #1 | 20ft,2
"Gloster Forest Products (Gloster, MS)",2x4 | #2 | 12ft,2
"Gloster Forest Products (Gloster, MS)",2x6 | #2 | 8ft,2
"Gloster Forest Products (Gloster, MS)",2x10 | #2 | 12ft,1
"Gloster Forest Products (Gloster, MS)",2x10 | #2 | 16ft,1
"Gloster Forest Products (Gloster, MS)",2x4 | #2 | 16ft,1
"Gloster Forest Products (Gloster, MS)",2x6 | #2 | 10ft,1
"Gloster Forest Products (Gloster, MS)",2x8 | #2 | 10ft,1
"Gloster Forest Products (Gloster, MS)",2x8 | #2 | 8ft,1
"Gloster Forest Products (Gloster, MS)",4x4 | #2 | 12ft,1
"Gloster Forest Products (Gloster, MS)",4x4 | #2 | 14ft,1
"Griffin Lumber Company, Inc. (Cordele, GA)",4x6 | #2 | 10ft,2
"Griffin Lumber Company, Inc. (Cordele, GA)",4x6 | #2 | 12ft,2
"Hankins Lumber Company, Inc (Grenada, MS)",4x6 | #2 | 10ft,2
"Hardy Technologies, LLC (Lumberton, MS)",2x4 | #2 | 16ft,1
"Hardy Technologies, LLC (Lumberton, MS)",2x6 | #2 | 16ft,1
"Harrigan Lumber Company, Inc. (Monroeville, AL)",4x6 | #2 | 16ft,10
"Harrigan Lumber Company, Inc. (Monroeville, AL)",4x6 | #2 | 10ft,5
"Harrigan Lumber Company, Inc. (Monroeville, AL)",4x6 | #2 | 18ft,3
"Harrigan Lumber Company, Inc. (Monroeville, AL)",4x6 | #2 | 8ft,2
"Harrigan Lumber Company, Inc. (Monroeville, AL)",2x10 | #1 | 14ft,1
"Harrigan Lumber Company, Inc. (Monroeville, AL)",4x6 | #2 | 14ft,1
"Hatfield Lumber Co (Hatfield, AR)",2x6 | #2 | 20ft,16
"Hatfield Lumber Co (Hatfield, AR)",6x6 | #2 | 16ft,10
"Hatfield Lumber Co (Hatfield, AR)",6x6 | #2 | 20ft,10
"Hatfield Lumber Co (Hatfield, AR)",2x6 | #2 | 12ft,8
"Hatfield Lumber Co (Hatfield, AR)",6x6 | #2 | 14ft,8
"Hatfield Lumber Co (Hatfield, AR)",2x4 | #2 | 18ft,4
"Hatfield Lumber Co (Hatfield, AR)",2x6 | #2 | 18ft,4
"Hatfield Lumber Co (Hatfield, AR)",6x6 | #2 | 10ft,4
"Hatfield Lumber Co (Hatfield, AR)",2x4 | #2 | 12ft,2
"Hatfield Lumber Co (Hatfield, AR)",2x4 | #2 | 16ft,1
"Hatfield Lumber Co (Hatfield, AR)",2x6 | #2 | 16ft,1
"Homan Forest Products Corporate, Inc (Fulton, MS)",4x6 | #2 | 20ft,34
"Homan Forest Products Corporate, Inc (Fulton, MS)",4x6 | #2 | 16ft,21
"Homan Forest Products Corporate, Inc (Fulton, MS)",4x6 | #2 | 10ft,14
