mill,profitable_index_relative,total_index_relative_margin,avg_index_relative_margin,median_index_relative_margin,n_rows,n_ok_matches,top_selling_product,top_selling_volume_or_count,best_product_by_index_margin,best_product_total_index_margin,worst_product_by_index_margin,worst_product_total_index_margin
"Coushatta Forest Products, LLC (Coushatta, LA)",False,-444.8551004819238,-6.011555411917889,-2.0658815003571362e-05,157,74,4x4 | #4 | 8ft,11,2x8 | #4 | 8ft,107.5,2x6 | #4 | 12ft,-117.50371744791698
"West Fraser Mills Ltd (Leola, AR)",False,-473.38762126115097,-39.44896843842925,-45.0,12,12,2x10 | #4 | 8ft,1,2x8 | #3 | 8ft,1.9042968972371455e-05,2x6 | #4 | 8ft,-47.67485351562499
"Vicksburg Forest Products, LLC (Vicksburg, MS)",False,-480.8375617117107,-1.2360862768938579,-5.0,517,389,2x4 | #4 | 10ft,23,2x6 | #4 | 12ft,213.29941120515102,2x4 | #4 | 16ft,-218.5979241543689
"Interfor US, Inc (Preston, GA)",False,-516.11518701715,-16.648877000553224,-10.013750000000016,35,31,2x4 | #4 | 8ft,5,2x8 | #3 | 8ft,32.826086956521976,2x4 | #4 | 8ft,-127.705424926691
"Interfor US, Inc (Swainsboro, GA)",False,-771.967182673665,-12.061987229276015,-5.000450721153996,64,64,2x4 | #4 | 8ft,15,2x4 | #4 | 14ft,18.934679682419983,2x4 | #4 | 12ft,-252.69768509615497
"Canfor Southern Pine (Bucks, AL)",False,-884.5071774219671,-40.2048717009985,-45.143244140625,83,22,2x4 | #3 | 12ft,16,2x4 | #3 | 8ft,0.0,2x10 | #4 | 8ft,-134.79901750761803
"Interfor US, Inc (Perry, GA)",False,-973.3396912823255,-22.63580677400757,-5.113014727983,44,43,2x4 | #4 | 10ft,6,2x4 | #4 | 14ft,76.21967885969457,2x4 | #4 | 10ft,-323.73204636085603
"Georgia-Pacific Corp. (Rome, GA)",False,-1304.511916127931,-5.79783073834636,-5.00001001602601,228,225,2x4 | #4 | 14ft,42,2x4 | #4 | 8ft,87.04429683892678,2x4 | #4 | 14ft,-334.89900851102607
"Weyerhaeuser NR Company (Dodson, LA)",False,-1317.6636847357126,-4.7059417311989735,-5.0,594,280,2x12 | #4 | <NA>ft,183,2x12 | #3 | 12ft,396.8120431857641,2x8 | #4 | 16ft,-416.89123283489096
"Georgia-Pacfic Corp (Talladega, AL)",False,-1423.26098919541,-5.8812437570058265,-10.0,244,242,2x4 | #4 | 14ft,55,2x4 | #4 | 8ft,432.5421957783401,2x4 | #4 | 14ft,-1195.4471937020119
"Georgia-Pacific Corp. (Diboll, TX)",False,-3399.3587592026297,-14.283019996649704,-10.0,258,238,2x4 | #4 | 16ft,34,2x6 | #3 | 8ft,239.375044776806,2x4 | #4 | 14ft,-832.082420314274
"West Fraser Mills Ltd. (Huttig, AR)",False,-3989.7054310597046,-54.65349905561239,-57.424453125000014,73,73,2x8 | #4 | 8ft,9,2x6 | #4 | 14ft,-37.39583333333297,2x8 | #4 | 16ft,-526.46984054265
"Weyerhaeuser NR Company (Philadelphia, MS)",False,-7221.58212631061,-10.958394728847663,-5.005795235029012,857,659,2x4 | #3 | 8ft,113,2x6 | #3 | 8ft,1013.903364682041,2x8 | #4 | 8ft,-823.5683024031271
"West Fraser Mills Ltd (New Boston, TX)",False,-7394.234851847217,-50.645444190734366,-57.30602213541698,152,146,2x10 | #4 | 8ft,11,2x4 | #3 | 8ft,0.0,2x10 | #4 | 8ft,-611.340911980952
"Georgia-Pacific Corp. (Pineland, TX)",False,-8908.15637412986,-19.116215395128453,-5.022967287713499,577,466,2x4 | #3 | 10ft,63,2x6 | #3 | 12ft,774.5172912326369,2x12 | #4 | 10ft,-1647.9294375
"Weyerhaeuser NR Company (Dierks, AR)",False,-9270.920086087572,-12.528270386604827,-5.0,1021,740,2x4 | #3 | 8ft,86,2x6 | #3 | 8ft,661.217435317056,2x10 | #4 | 16ft,-1644.886522907061
