Mill,AvgDaysOnReadyList,PctShippedToCustomers,PctShippedToPlants,AvgGrossMargin_Customers,AvgGrossMarginPct_Customers,TotalLoads
"Randy Miller Lumber Co, Inc (Wilkesboro, NC)",2.0,100.0,0.0,1088.5699999999993,14.824292027263494,1
"Red Mountain Hardwoods LLC (Atlanta, TX)",3.875,100.0,0.0,522.667500944118,8.665132184703962,16
"Resolute FP US, Inc (Glenwood, AR)",8.0,100.0,0.0,1907.3183333333334,17.177229486652347,3
"Rex Lumber Troy, LLC (Troy, AL)",5.8,85.0,15.0,698.3990912386112,5.315682033507808,20
"Rex Lumber-Brookhaven (Brookhaven, MS)",12.0,85.71428571428571,14.285714285714292,576.2082785725919,5.925004035666723,7
"Rogers Lumber Company (Camden, AR)",20.0,100.0,0.0,253.30000000000047,3.2574588477366313,1
"Rutland Lumber Company, Inc. (Collins, MS)",0.0,100.0,0.0,817.77,11.711456252282442,1
"S & S Lumber L.C. (Half Way, MO)",11.0,0.0,100.0,,,1
"Show-Me Hardwoods & Geenhouse (Exeter, MO)",7.75,100.0,0.0,2181.32875,23.73869908392791,8
"Snider Industries, LLP (Marshall, TX)",2.888888888888889,100.0,0.0,2342.6973399716608,14.075473809079634,9
"Southeast Forest Products Mfg, Inc (Louisville, AL)",6.222222222222222,97.22222222222221,2.7777777777777857,470.8590017510496,7.486849190056258,36
"Southeastern Timber Products, LLC (Ackerman, MS)",9.827586206896552,87.93103448275862,12.06896551724138,1256.193732327356,13.271481319191787,116
"Southern Lumber Company, Inc. (Hermanville, MS)",10.466666666666667,73.33333333333333,26.66666666666667,423.9004545454547,8.13937219456104,15
"Spanish Trails Lumber Company (Marianna, FL)",2.0,100.0,0.0,805.5199999999991,9.090827013362215,1
"Steely Lumber (Huntsville, TX)",1.0,100.0,0.0,579.705,6.933855630644101,1
"Stella-Jones Corp (Goshen, VA)",2.3333333333333335,100.0,0.0,2399.0,12.76063829787234,3
"Stella-Jones Corp (Livingston, TX)",8.285714285714286,100.0,0.0,-157.43714285714285,-4.436035055561919,7
"T R Miller Co, Inc. (Brewton, AL)",4.0,100.0,0.0,133.6,1.976799242424242,1
"Trimjoist Corporation (Columbus, MS)",5.8,100.0,0.0,1320.8975414670144,18.763639547844438,5
"Triple E Trucking (Colfax, LA)",8.5,0.0,100.0,,,2
"Two Rivers Lumber Company, LLC (Demopolis, AL)",3.0,100.0,0.0,1774.1299999999999,18.011156469727766,2
"Valley Timber Inc (Fort Payne, AL)",5.333333333333333,0.0,100.0,,,18
"Vernon Kropf (Pocahontas, AR)",-20.0,100.0,0.0,1343.048832000001,15.557511259382832,1
"Vicksburg Forest Products, LLC (Vicksburg, MS)",10.186567164179104,67.16417910447761,32.83582089552239,719.0527302678325,7.004726957201525,134
"Victor Kropf (Pocahontas, AR)",-0.125,93.75,6.25,2034.7534421333332,21.77353424123825,16
"Warren Timbers Company, LLC (Warren, AR)",5.204081632653061,42.0,58.0,951.9223884994271,9.067906254969525,50
"Wesley Hostetler (Emden, MO)",3.0,100.0,0.0,2012.0799999999997,23.743037855187385,1
"West Fraser Mills Ltd (Augusta, GA)",6.0,100.0,0.0,4526.916523028809,47.11017664851998,1
"West Fraser Mills Ltd (Dudley, GA)",9.0,100.0,0.0,-751.3000000000004,-15.750557129050593,1
"West Fraser Mills Ltd (Fairfax, SC)",6.0,100.0,0.0,9454.336666666668,89.49493718085915,3
"West Fraser Mills Ltd (Joyce, LA)",10.923076923076923,92.3076923076923,7.692307692307693,711.5155031602256,8.21730781679163,13
"West Fraser Mills Ltd (Leola, AR)",9.0,50.0,50.0,711.3269999999994,8.869843079690133,2
"West Fraser Mills Ltd (New Boston, TX)",9.642857142857142,71.42857142857143,28.57142857142857,698.7471363999997,7.670328993426833,14
"West Fraser Mills Ltd. (Henderson, TX)",15.25,100.0,0.0,374.4366785000001,3.9464113207618587,4
"West Fraser Mills Ltd. (Mansfield, AR)",8.722222222222221,88.88888888888889,11.111111111111114,546.8669158125,5.879408000845486,36
"West Fraser Mills Ltd. (Maplesville, AL)",10.6,40.0,60.0,1375.9999999999998,15.2385754978352,5
"West Fraser Mills Ltd. (Mc David, FL)",1.0,100.0,0.0,1104.3199999999993,12.4629830263633,1
"West Fraser Mills Ltd. (Newberry, SC)",10.5,100.0,0.0,-690.0999999999991,-8.222116472371216,4
"West Fraser Mills Ltd. (Opelika, AL)",8.166666666666666,100.0,0.0,1100.0649999999998,12.482672921009808,6
"West Fraser Mills Ltd. (Russellville, AR)",3.9375,93.75,6.25,1186.3402666666666,11.311701754572164,16
"West Fraser Timber Co, Ltd - 57 (Lanett, AL)",6.875,62.5,37.5,5959.629999999999,70.12366598588977,8
"Westervelt Lumber Division (Moundville, AL)",10.195121951219512,77.23577235772358,22.764227642276424,710.6727859674473,8.509203015080127,123
"Westervelt Lumber Division (Thomasville, AL)",15.75,95.83333333333334,4.166666666666657,608.0934922756065,7.518539709396967,24
"Weyerhaeuser NR Company (Bruce, MS)",10.5,87.93103448275862,12.06896551724138,1030.7008227211675,11.125420370628403,174
"Weyerhaeuser NR Company (Dierks, AR)",10.090301003344482,89.63210702341136,10.367892976588635,700.4745898949596,8.49452495525959,299
"Weyerhaeuser NR Company (Dodson, LA)",10.88695652173913,93.04347826086956,6.956521739130437,582.635005419118,6.935905056708809,115
"Weyerhaeuser NR Company (Holden, LA)",7.298611111111111,92.36111111111111,7.638888888888886,1068.8129936480316,11.078768207706245,144
"Weyerhaeuser NR Company (Idabel, OK)",8.957983193277311,94.11764705882352,5.882352941176478,843.8950472267163,10.117203145800543,119
"Weyerhaeuser NR Company (Magnolia, MS)",9.443877551020408,93.36734693877551,6.632653061224488,573.8100996056305,6.811585373931284,196
"Weyerhaeuser NR Company (Millport, AL)",9.431693989071038,89.61748633879782,10.382513661202182,1104.2634293286137,12.448743543150538,183
"Weyerhaeuser NR Company (Philadelphia, MS)",10.90521327014218,92.41706161137441,7.5829383886255926,982.2564350633269,10.811300444714048,211
"Weyerhaeuser NR Company (Zwolle, LA)",6.4,80.0,20.0,1976.7312829257294,19.871932624878177,5
"Wood Tie (Idabel, OK)",2.0,100.0,0.0,1005.0,16.75,2
"WoodPerfect (Albertville, AL)",7.166666666666667,83.33333333333334,16.666666666666657,-926.2607999999994,5.273504775413767,6
"WoodPerfect (Boaz, AL)",13.6,40.0,60.0,596.7336899999991,6.133973349531353,5
"Yoder Hardwood (Verona, MO)",6.625,100.0,0.0,3628.3095768819853,31.474197639564593,24
