region,grade,dimension,length,transaction_date,price
Central,1,2x10,18,2025-06-19,360.0
Central,1,2x10,18,2025-06-27,345.0
Central,1,2x10,18,2025-07-03,335.0
Central,1,2x10,18,2025-07-11,335.0
Central,1,2x10,18,2025-07-18,335.0
Central,1,2x10,18,2025-07-25,340.0
Central,1,2x10,18,2025-08-01,340.0
Central,1,2x10,18,2025-08-08,340.0
Central,1,2x10,18,2025-08-15,330.0
Central,1,2x10,18,2025-08-22,325.0
Central,1,2x10,18,2025-08-29,300.0
Central,1,2x10,18,2025-09-05,290.0
Central,1,2x10,18,2025-09-12,290.0
Central,1,2x10,18,2025-09-19,300.0
Central,1,2x10,18,2025-09-26,305.0
Central,1,2x10,18,2025-10-03,315.0
Central,1,2x10,18,2025-10-10,325.0
Central,1,2x10,18,2025-10-17,330.0
Central,1,2x10,20,2024-01-12,770.0
Central,1,2x10,20,2024-01-18,750.0
Central,1,2x10,20,2024-01-25,730.0
Central,1,2x10,20,2024-02-08,730.0
Central,1,2x10,20,2024-02-15,690.0
Central,1,2x10,20,2024-02-22,670.0
Central,1,2x10,20,2024-02-29,670.0
Central,1,2x10,20,2024-03-07,670.0
Central,1,2x10,20,2024-03-14,660.0
Central,1,2x10,20,2024-03-21,650.0
Central,1,2x10,20,2024-03-28,650.0
Central,1,2x10,20,2024-04-04,610.0
Central,1,2x10,20,2024-04-11,595.0
Central,1,2x10,20,2024-04-18,595.0
Central,1,2x10,20,2024-04-25,580.0
Central,1,2x10,20,2024-05-02,580.0
Central,1,2x10,20,2024-05-09,590.0
Central,1,2x10,20,2024-05-16,600.0
Central,1,2x10,20,2024-05-30,630.0
Central,1,2x10,20,2024-06-06,640.0
Central,1,2x10,20,2024-06-13,635.0
Central,1,2x10,20,2024-06-20,630.0
Central,1,2x10,20,2024-06-27,605.0
Central,1,2x10,20,2024-07-04,600.0
Central,1,2x10,20,2024-07-11,600.0
Central,1,2x10,20,2024-07-18,600.0
Central,1,2x10,20,2024-07-25,610.0
Central,1,2x10,20,2024-08-01,610.0
Central,1,2x10,20,2024-08-08,610.0
Central,1,2x10,20,2024-08-15,620.0
Central,1,2x10,20,2024-08-22,630.0
Central,1,2x10,20,2024-08-29,635.0
Central,1,2x10,20,2024-09-05,640.0
Central,1,2x10,20,2024-09-12,640.0
Central,1,2x10,20,2024-09-20,645.0
Central,1,2x10,20,2024-09-27,645.0
Central,1,2x10,20,2024-10-04,625.0
Central,1,2x10,20,2024-10-11,625.0
Central,1,2x10,20,2024-10-18,625.0
Central,1,2x10,20,2024-10-25,625.0
Central,1,2x10,20,2024-11-01,620.0
Central,1,2x10,20,2024-11-08,610.0
Central,1,2x10,20,2024-11-15,600.0
Central,1,2x10,20,2024-11-22,590.0
Central,1,2x10,20,2024-11-27,580.0
Central,1,2x10,20,2024-12-06,575.0
Central,1,2x10,20,2024-12-13,560.0
Central,1,2x10,20,2024-12-20,570.0
Central,1,2x10,20,2025-01-03,585.0
Central,1,2x10,20,2025-01-10,560.0
Central,1,2x10,20,2025-01-17,565.0
Central,1,2x10,20,2025-01-24,565.0
Central,1,2x10,20,2025-01-31,555.0
Central,1,2x10,20,2025-02-07,560.0
Central,1,2x10,20,2025-02-14,550.0
Central,1,2x10,20,2025-02-21,550.0
Central,1,2x10,20,2025-02-28,550.0
Central,1,2x10,20,2025-03-07,555.0
Central,1,2x10,20,2025-03-14,535.0
Central,1,2x10,20,2025-03-21,535.0
Central,1,2x10,20,2025-03-28,540.0
Central,1,2x10,20,2025-04-04,555.0
Central,1,2x10,20,2025-04-11,565.0
Central,1,2x10,20,2025-04-18,585.0
Central,1,2x10,20,2025-04-25,595.0
Central,1,2x10,20,2025-05-02,595.0
Central,1,2x10,20,2025-05-09,585.0
Central,1,2x10,20,2025-05-16,565.0
Central,1,2x10,20,2025-05-23,525.0
Central,1,2x10,20,2025-05-30,500.0
Central,1,2x10,20,2025-06-06,475.0
Central,1,2x10,20,2025-06-13,465.0
Central,1,2x10,20,2025-06-19,450.0
Central,1,2x10,20,2025-06-27,435.0
Central,1,2x10,20,2025-07-03,425.0
Central,1,2x10,20,2025-07-11,435.0
Central,1,2x10,20,2025-07-18,440.0
Central,1,2x10,20,2025-07-25,445.0
Central,1,2x10,20,2025-08-01,445.0
Central,1,2x10,20,2025-08-08,440.0
Central,1,2x10,20,2025-08-15,430.0
Central,1,2x10,20,2025-08-22,415.0
Central,1,2x10,20,2025-08-29,395.0
Central,1,2x10,20,2025-09-05,380.0
Central,1,2x10,20,2025-09-12,370.0
Central,1,2x10,20,2025-09-19,370.0
Central,1,2x10,20,2025-09-26,370.0
Central,1,2x10,20,2025-10-03,360.0
Central,1,2x10,20,2025-10-10,360.0
Central,1,2x10,20,2025-10-17,365.0
Central,1,2x12,8,2024-01-12,555.0
Central,1,2x12,8,2024-01-18,555.0
